"Fiscal Year","Case Number","Recv'd in FOIA","Document Requested","Disposition","Denial Reason"
"2013","115","07/02/2013","Self requester","Other Reason for Nondisclosure","No records"
"2013","116","07/09/2013","Self requester","Partial Grant",""
"2013","117","07/09/2013","A database of all employees who used ""official time"" under 5 USC 7131 or related statutes since January 1, 2009; and copies of current master labor agreements governing the use of official time by top union officials","Other Reason for Nondisclosure","No records"
"2013","118","07/10/2013","All records pertaining to the death of an ICE detainee","Partial Grant",""
"2013","119","07/11/2013","Self requester","Total Denial",""
"2013","120","07/12/2013","Self requester","Partial Grant",""
"2013","121","07/16/2013","Self requester","Total Denial",""
"2013","122","07/18/2013","Records pertaining to third parties","Total Denial","Specify other"
"2013","123","07/22/2013","Annual performance data for program line item accounts and agency level performance measures","Other Reason for Nondisclosure","Administratively Closed"
"2013","124","07/23/2013","Records pertaining to: Chaperone Technologies, Inc.; a third party; 66 Analomink Street in East Stroudsburg, PA 18301; and East Stroudsburg University.","Other Reason for Nondisclosure","No records"
"2013","125","07/25/2013","ROIs for 16 specified cases","",""
"2013","126","07/25/2013","Closed NO FEAR Act investigations involving violations of whistleblower protection laws between January 1, 2008 and the date on which this request is processed","Partial Grant",""
"2013","127","07/26/2013","Records released to two named FOIA requesters and FOIA Unit case notes for those requests","",""
"2013","128","07/26/2013","Self requester","",""
"2013","129","07/29/2013","Self requester","Partial Grant",""
"2013","130","07/30/2013","Records regarding the investigation into personnel working at DHS-OIG-INV in McAllen, TX","Total Denial",""
"2013","131","07/30/2013","Self requester","Total Denial",""
"2013","132","07/30/2013","Records pertaining to OIG purchases of 9mm ammunition","Other Reason for Nondisclosure","No records"
"2013","133","07/31/2013","Self requester","Partial Grant",""
"2013","134","08/02/2013","Records relating to the EPA's CAFO Reporting Rule and its subsequent withdrawal.","Other Reason for Nondisclosure","No records"
"2013","135","08/06/2013","Self requester","Other Reason for Nondisclosure","No records"
"2013","136","08/06/2013","Self requester","",""
"2013","137","08/06/2013","Investigative records pertaining to a third party","",""
"2013","138","08/06/2013","Self requester","Partial Grant",""
"2013","139","08/08/2013","ROIs for the list of cases provided in response to FOIA case #2013-101","Partial Grant",""
"2013","140","08/13/2013","Names and contact information of high level HR managers","Partial Grant",""
"2013","141","08/14/2013","Self requester","Partial Grant",""
"2013","142","08/14/2013","Self requester","Partial Grant",""
"2013","143","08/14/2013","From 2005 to present, results of investigations into use of force incidents by Border Patrol agents and CBP officers","",""
"2013","144","08/19/2013","Any reports related to OIG's USSS Cartagena review","",""
"2013","145","08/19/2013","Self requester","Total Grant",""
"2013","146","08/19/2013","Requests for information issued by OIG to state and local government agencies in regards to Hurricane Sandy recovery efforts","Partial Grant",""
"2013","147","08/21/2013","Documents and/or any other response provided by OIG to the congressional Bicameral Task Force on Climate Change in response to their February 25, 2013 letter","Total Grant",""
"2013","148","08/21/2013","DHS-OIG Cartagena report, and all reports and/or investigations involving either USSS and/or allegations involving employees of any other agency or organization in Colombia","",""
"2013","149","08/26/2013","Letters and attachments corresponding to specified control numbers and dates on correspondence logs","Other Reason for Nondisclosure","Not an agency record"
"2013","150","08/27/2013","Self Requester","",""
"2013","151","08/29/2013","Self requester and requester of records pertaining to a third party","Total Denial",""
"2013","152","08/30/2013","Self requester","",""
"2013","153","09/03/2013","All reports related to the investigation into USSS conduct in Cartagena and/or specifically the ROI that was transmitted to Secretary Napolitano on September 26, 2012","",""
"2013","154","09/04/2013","Complaints and/or investigations involving ICE made by lesbian, gay, bisexual, and transgender detainees in ICE facilities from FY 2008 to the present","Partial Grant",""
"2013","155","09/05/2013","Self requester and requester of records pertaining to a third party","",""
"2013","156","09/06/2013","Self requester and requester of records pertaining to third parties","Other Reason for Nondisclosure","Not an agency record"
"2013","157","09/09/2013","A list of closed OIG investigations from October 1, 2011, through August 31, 2013; ROIs for 21 specified death cases involving CBP and ICE; and ROIs for all closed OIG investigations involving CBP from January 1, 2009 through August 31, 2013, as well as FOIA requests received by CBP seeking information about these incidents","",""
"2013","158","09/10/2013","Self requester","Partial Grant",""
"2013","159","09/10/2013","Records pertaining to a third party","",""
"2013","160","09/11/2013","Records pertaining to 20 specified death incidents attributed to CBP","",""
"2013","161","09/13/2013","Self requester","",""
"2013","162","09/19/2013","Data for possible excessive use of force allegations underlying report number OIG-13-114 ""CBP Use of Force Training and Actions to Address Use of Force Incidents""","",""
"2013","163","09/19/2013","ROIs for investigations completed within the last four years involving expense reimbursement, expense fraud, travel expenses or entertainment expenses","",""
"2013","164","09/19/2013","Files released for OIG FOIA File No. 2012-075","Partial Grant",""
"2013","165","09/19/2013","Responses sent to congressional committees between January 1, 2008 and the date on which this request is processed","",""
"2013","166","09/19/2013","Investigations in Milwaukee County in the last two years","",""
"2013","167","09/20/2013","OIG reports, findings, comments, and recommendations regarding the San Pedro, CA Service Processing Center's compliance with ICE detainee transfer standards","",""
"2013","168","09/20/2013","OIG report regarding the handling of children of detainees from the March 6, 2007 ICE raid in New Bedford, MA","",""
"2013","169","09/24/2013","Records pertaining to self","",""
"2013","170","09/24/2013","Data sets on allegations of excessive force from OIG and JICMS mentioned in Report No. OIG-13-114","",""
"2013","171","09/24/2013","Records pertaining to the impact of sequestration in FY 2013 and anticipated impacts of sequestration in FY 2014","Partial Grant",""
"2013","172","09/25/2013","FOIA logs from January 1, 2013 through the present","Partial Grant",""
"2013","173","09/26/2013","Records pertaining to requester","",""
"2013","174","09/26/2013","Records pertaining to requester","",""
"2013","175","09/26/2013","Records pertaining to report on racial profiling at Boston Logan Airport","",""
"Fiscal Year","Case #","Recv'd in FOIA","Document Requested","Disposition","Denial Reason"
"2009","129","07/01/2009","Referral from BPD: Requested technical and price proposal for Contract Award # TPD-FIG-09-C-00003.","Partial Grant",""
"2009","130","07/07/2009","Requested status of complaint.","Other Reason","No records"
"2009","131","07/08/2009","Self Requester.","Partial Grant",""
"2009","132","07/09/2009","Requested documents related to the Report Under Federal Military Whistle blower Protection Act filed by client (See FOIA File#2008-122)","Partial Grant",""
"2009","133","07/14/2009","Requested copy of the FOIA case log for calendar year 2008.","Partial Grant",""
"2009","134","07/14/2009","Referral from EOUSA: Requested records concerning communication between DOJ and DHS on the prosecution of U.S. Border Patrol Agents Ramos and Compean.","Partial Grant",""
"2009","135","07/14/2009","Requester seeks all records on several CBP employees in Blaine, Washington.","Total Denial","Glomar"
"2009","136","07/09/2009","Complaints that OIG received pertaining to the Secure Border Initiative (SBI).","Partial Grant",""
"2009","137","07/17/2009","Self requester; also requested information on OIG field offices and employees.","Partial Grant",""
"2009","138","07/23/2009","Copies of all documents used to compile and complete audit OIG 08-26","",""
"2009","139","07/28/2009","Requested status of complaint","Partial Grant",""
"2009","140","07/28/2009","Requested copies of any and all internal audit reports regarding the ""administration and use of Homeland Security grants by Shelby County Government, Tennessee.""","Other Reason","No records"
"2009","141","07/30/2009","Self-requester.","Partial Grant",""
"2009","142","08/05/2009","Self-requester","Partial Grant",""
"2009","143","08/06/2009","Self-requester.","Partial Grant",""
"2009","144","08/11/2009","Self-requester","Other Reason","No records"
"2009","145","08/11/2009","Self-requester","Partial Grant",""
"2009","146","08/14/2009","Requested all investigative documents on self.","Partial Grant",""
"2009","147","08/18/2009","Any reports, audits, investigations, or inspections related to placement and housing of federal detainees at the Piedmont Detainee Center within Piedmont Regional Jail in Farmville, VA.","Partial Grant",""
"2009","148","08/19/2009","Requested copies of resumes of all persons appointed to Schedule","Other Reason","No records"
"2009","149","08/19/2009","Requested any OIG investigations, audits and/or management alerts about travel practices or travel abuses within DHS.","Partial Grant",""
"2009","150","08/19/2009","Self-requester.","Partial Grant",""
"2009","151","08/20/2009","Referral from ICE: all documents concerning the requester's suitability for employment.","Partial Grant",""
"2009","152","08/20/2009","Requested status of complaint","Partial Grant",""
"2009","153","08/21/2009","All complaints, reports, or correspondence to DHS from Chief of Police or any other member of the Police Department regarding clients.","Partial Grant",""
"2009","154","08/21/2009","Requested status of requester's complaint.","Partial Grant",""
"2009","155","08/21/2009","Number of applications for a Request for a Hearing on a Decision","Other Reason","Request withdrawn - because docs are not under OIG purview"
"2009","156","08/21/2009","Requested August 11, 2004 Federal Air Marshal Service (FAMS) Memo to former IG.","Other Reason","Administratively Closed. Record(s) requested not under OIG purview"
"2009","157","08/24/2009","Consultation from OPM: Requested a copy of the most recent background investigation.","Partial Grant",""
"2009","158","08/25/2009","Requested copies of final reports for any and all Office of Inspector General investigations pertaining to ICE operations since March 2003.","",""
"2009","159","08/27/2009","Referral from Department of State (PRIV referred to OIG): Requested a copy of the investigative file on self that stemmed from requester's SF-86, background interview and other ICE/OIG investigation conducted in Miami.","Partial Grant",""
"2009","160","08/28/2009","Referral from PRIV: Requested records relating to Maher Arar","",""
"2009","161","08/28/2009","Requested ROI on self","Partial Grant",""
"2009","162","09/03/2009","Referral from ICE: Requested copies of records maintained by ICE pertaining to the requester; specifically, personnel, health, payroll, leave files, and any and all investigative files/or records.","Partial Grant",""
"2009","163","09/15/2009","Copies of requester's OIG case records.","Partial Grant",""
"2009","164","09/16/2009","Documents pertaining to financial audits within certain specified municipalities.","Other Reason","Request withdrawn"
"2009","165","09/18/2009","Documents pertaining to USCIS investigations.","Other Reason","Administratively Closed. Referred to OIG in error"
"2009","166","09/22/2009","Documents pertaining to the requester's ROI.","",""
