"Fiscal Year","Case Number","Received in FOIA","Document Requested","Disposition","Denial Reason","source_doc_id","CaseNumber","Recv'd in FOIA","Recv'd in","FOIA Document Requested"
"2015","1.0","10/01/2014","All documents related to DHS Sept. 10, 2014 report from Deputy Secretary Alejandro Mayorkas, with OIG, CBP and ICE on steps being taken to address the process for investigating cases of corruption and the plan to work as a unified DHS with the FBI's BCTF to the Senate Committee on Appropriations for the 2014 DHS appropriations bill S. Rep No. 113-77 (July 18, 2013)","","","25888799","","","",""
"2015","2.0","10/03/2014","records pertaining to self","","","25888799","","","",""
"2015","3.0","10/06/2014","records pertaining to self","Partial Grant","","25888799","","","",""
"2015","4.0","10/07/2014","records pertaining to third party","Not a Perfected Request","","25888799","","","",""
"2015","5.0","10/07/2014","records pertaining to self and third parties","","","25888799","","","",""
"2015","6.0","10/09/2014","Records pertaining to self","Partial Grant","","25888799","","","",""
"2015","7.0","10/09/2014","records pertaining to self","Partial Grant","","25888799","","","",""
"2015","8.0","10/10/2014","1. Emails from former Acting IG Charles Edwards sent to or received by a named third party, 2. Emails sent or received by Edwards containing the names of two third parties, from 4/1/2012-1/1/2014","Total Denial","","25888799","","","",""
"2015","9.0","10/14/2014","Records pertaining to self","Partial Grant","","25888799","","","",""
"2015","10.0","10/14/2014","All emails between the DHS OIG Boston Field Office and the Boston Police Department from August 2011 to present.","Other Reason for Nondisclosure","No records","25888799","","","",""
"2015","11.0","10/16/2014","Records pertaining to his client.","Partial Grant","","25888799","","","",""
"2015","12.0","10/16/2014","records pertaining to client","","","25888799","","","",""
"2015","13.0","10/17/2014","ROIs for 23 specified cases pertaining to USSS","","","25888799","","","",""
"2015","14.0","10/20/2014","A list of closed investigations in the San Diego, CA area since January 2014 to present.","Partial Grant","","25888799","","","",""
"2015","15.0","10/20/2014","Records related to the planning for Ebola outbreaks and danger, from June 1, 2014 to present.","","","25888799","","","",""
"2015","16.0","10/17/2014","Records pertaining to self","Partial Grant","","25888799","","","",""
"2015","17.0","10/22/2014","Status of complaint","Total Denial","","25888799","","","",""
"2015","18.0","10/21/2014","records pertaining to self","","","25888799","","","",""
"2015","19.0","10/24/2014","(1) FOIA request log from 10-1-2013 to 10-1-2014 and list of frequently requested FOIAs; (2) list of all MOUs; (3) OIG budget; and (4) list of all reports submitted to Congress","Partial Grant","","25888799","","","",""
"2015","20.0","10/24/2014","database of FY 2014 closed investigations on USSS.","Total Grant","","25888799","","","",""
"2015","21.0","10/24/2014","OIG database developed to distill data from CBP and JICMS for possible excessive use of force allegations underlying report number OIG-13-114 “CBP Use of Force Training and Actions to Address Use of Force Incidents”","Other Reason for Nondisclosure","No records","25888799","","","",""
"2015","22.0","10/27/2014","The final reports for 10 USSS investigations.","","","25888799","","","",""
"2015","23.0","10/27/2014","In summary, (1) records related to OIG investigation into allegations that a third party engaged a prostitute in Cartagena; and (2) emails to/from OIG personnel from April 4, 2012, to the present regarding an investigation into that third party.","Total Denial","","25888799","","","",""
"2015","24.0","10/27/2014","All contracts signed or held by the DHS OIG Boston Field Office.","Other Reason for Nondisclosure","No records","25888799","","","",""
"2015","25.0","10/27/2014","All records related to the segregation of detainees in ICE/ERO","","","25888799","","","",""
"2015","26.0","10/28/2014","Consult from CRCL","Partial Grant","","25888799","","","",""
